kunnr,mart_miktar_ton,aygpay,hesnav,MRT 2026,fiil_nakliye_tl_ton,fob_tutar,ton_bası_karlılık
1019052,38.82,35643.7,5358.42,-782223.0,4813.031112682561,,16039.088887317434
1019059,2.1,35781.46,5358.42,-18900.0,4874.092476716571,,27265.787523283427
1019066,3.0,34967.21,4222.06,-16500.0,5570.5031440005205,,28118.766855999478
1020045,5.11,35755.63,5391.65,-56095.0,5016.479919884668,,25153.304972483238
1020050,6.26,35755.63,5391.65,-116736.0,4216.180946549908,,18283.175730766383
1020053,3.24,35755.63,5391.65,-68084.0,5372.588609030546,,14761.111144055878
1020054,6.78,35755.63,5391.65,-291439.0,5290.2932832141305,,-7128.116528051891
1020059,0.72,35755.63,5391.65,-21636.0,5397.416845081202,,5699.863154918799
1020066,6.36,35755.63,5391.65,-108040.0,5093.740607052018,,19066.118009300186
1020072,6.6,34941.38,4255.29,-105614.0,4875.179451253527,,18319.369336625256
1020080,16.8,35755.63,5391.65,-374875.0,5200.190863338347,,13633.101041423553
1020082,0.72,35755.63,5391.66,-3784.0,5215.092072719526,,30676.642371724913
1020083,6.36,34941.38,4255.29,-52137.0,4650.206855537416,,26348.821635028624
1020088,11.46,35755.63,5391.65,-176282.0,4699.608346462995,,21065.29818058762
1020089,3.12,35755.63,5391.65,-56026.0,5541.636888097329,,17648.591829851386
1020091,1.33,35755.62,5391.64,-16950.0,4864.045304565172,,23538.853793179187
1020093,11.16,35755.63,5391.65,-241751.0,4959.422777306476,,14525.581237030437
1020094,2.76,35755.63,5391.65,-48296.0,4958.341730899799,,18690.38754446252
1020095,19.96,35755.63,5391.65,-296336.0,5569.180198113251,,20731.606815914805
1021020,2.6,35487.08,5432.5,-15624.0,,4.8500805405405405,34910.349230769236
1021033,1.14,35487.08,5432.48,-4320.0,4906.0190136399515,,32224.067302149517
1021035,1.26,35487.08,5432.48,-7560.0,3246.0730213502625,,31673.486978649737
1021038,2.82,35487.08,5432.49,-28200.0,4450.369627058908,,26469.200372941094
1021057,28.73,35487.08,5432.5,-642052.0,,4.5657618378378375,18571.79023320571
1021080,2.36,35487.08,5432.49,-18912.0,3639.747276277491,,29266.263401688608
1021082,2.94,35487.08,5432.49,-29400.0,4347.222553541193,,26572.347446458807
1021085,0.84,35487.08,5432.49,-13950.0,4718.36245137507,,19594.06469148207
1021111,13.22,35487.08,5432.49,-264480.0,,4.485085351351351,20913.51856278366
1021118,24.92,35487.08,5432.49,-416342.0,3774.4964846249304,4.463677081081082,20437.930658232217
1021126,0.36,35487.08,5432.5,0.0,4853.912749048185,,36065.66725095182
1022013,7.74,35719.05,5399.99,-109921.0,6225.3258104173765,,20692.034603019314
1022021,20.92,35719.05,5399.99,-281944.0,4230.414130330748,,23411.379215749563
1022029,3.0,34904.8,4263.63,-24000.0,6993.3358300315185,,24175.09416996848
